id,name,salary_from,salary_to,currency,company,city,experience,employment,description,url,published_at,key_skills,search_keyword
73086362,Системный аналитик,,75000.0,RUR,Команда Ф5,Чебоксары,Нет опыта,Полная занятость,"<p><strong>Команда Ф5 - это аккредитованная IT-компания, системный интегратор, работающий с 2012 года.</strong></p> <p><strong>Тебе интересна сфера IT-технологий и ты мечтаешь развиваться в этом направлении? Тогда у тебя есть шанс стать частью большой и дружной команды F5.<br />Мы приглашаем на работу активных и энергичных сотрудников, которые хотят работать в режиме непрерывного профессионального роста и достичь материального благополучия.</strong></p> <p><em>Твои обязанности:</em></p> <ol> <li>Обработка входящих клиентских заявок;</li> <li>Проведение встреч;</li> <li><strong>Коммуникация с клиентом и осуществление продаж;</strong></li> <li>Подготовка документов (коммерческое предложение, договор, счет);</li> <li>Реализация проектов внедрения amoCRM (сбор требований, составление ТЗ на внедрение и настройка системы, а также реализация BPMN-процессов)</li> </ol> <p><em>Твои перспективы карьерного роста:</em></p> <ol> <li> <p>Старший менеджер по продажам</p> </li> <li> <p>Руководитель отдела продаж</p> </li> <li> <p><strong>Управляющий партнер</strong></p> </li> </ol> <p><em><strong>Условия работы</strong></em></p> <p><em><strong>Мы готовы предложить:</strong></em></p> <ol> <li> <p>Обучение для каждого сотрудника за счет компании</p> </li> <li> <p>Оклад (минимальная гарантия - 35000) + % + премии - <strong>БЕЗ ПОТОЛКА</strong>;</p> </li> <li> <p>Современный офис <strong>в центре города</strong>;</p> </li> <li> <p>График 5/2 с 09:00 до 18:00;</p> </li> <li> <p>Оформление по <strong>ТК РФ</strong> с 1 дня выхода на работу и своевременная выплата заработной платы два раза в месяц;</p> </li> <li> <p>Свободный дресс-код;</p> </li> <li> <p>Отличная команда, которая станет тебе другом и наставником.</p> </li> </ol> <p><strong>Если Вы любите общаться с людьми, и чем круче результат, тем ярче у Вас горят глаза - мы ждем Вас!</strong></p> <p> </p>",https://hh.ru/vacancy/73086362,2025-04-10,"['Активные продажи', 'B2B Продажи', 'Навыки продаж', 'Клиентоориентированность', 'Ориентация на результат', 'исходящие звонки', 'Разработка технических заданий', 'Системная интеграция', 'Постановка задач разработчикам', 'Аналитика', 'BPMN', 'Разработка проектной документации', 'Информационные технологии', 'Автоматизация процессов']",Системный аналитик
79382684,Консультант-аналитик 1С,70000.0,,RUR,РИЦ-1С,Екатеринбург,От 1 года до 3 лет,Полная занятость,"<p>Компания «РИЦ-1С» на протяжении 19 лет помогает своим клиентам работать в программе 1С и разбираться в тонкостях бухгалтерского учета.</p> <p>К нам в команду мы ищем сотрудника на должность <strong>консультанта-аналитика по программным продуктам 1С</strong>.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Консультирование и обучение пользователей по работе в «<em>1С:Зарплата и кадры государственного учреждения» или «1С:Бухгалтерия государственного учреждения»</em>;</li> <li> <p>Анализ задач на настройке и доработке программ, поиск решений;</p> </li> <li> <p>Составление заданий на доработку программ 1С, тестирование выполненных доработок;</p> </li> <li> <p>Изучение изменений в новых релизах программных продуктов, анализ законодательства по бухгалтерскому учету и расчету заработной платы.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование (бух.учет или экономика);</li> <li> <p><em>Опыт работы с конфигурациями</em> «1С:Зарплата и кадры государственного учреждения» или «1С:Бухгалтерия государственного учреждения» от 1 года;</p> </li> <li> <p>Опыт работы консультантом-аналитиком 1С (желательно).</p> </li> </ul> <p>Для нас очень важно оперативно решить проблему клиента и обеспечить вежливое и внимательное отношение к нему.</p> <p><strong>Условия:</strong></p> <ul> <li>Заработная плата будет состоять из оклада и премии (по результатам собеседования). С консультантами 1С с опытом от 2-х лет заработная плата будет обговариваться индивидуально на собеседовании;</li> <li>ДМС;</li> <li>Доступ к правовым системам;</li> <li>Оплата расходов на сотовую связь;</li> <li>Карьерный рост;</li> <li>Бесплатное обучение, сертификация по 1С (работая у нас, вы будете знать различные конфигурации программы 1С на уровне эксперта, обучение проводит квалифицированный методист компании, разрабатываются индивидуальные планы обучения под каждого сотрудника);</li> <li>Комфортные условия труда (светлый современный офис, оборудованное рабочее место, наличие остановок общественного транспорта, наличие столовой, комната отдыха);</li> <li>Возможна удаленная работа или гибридный график;</li> <li>Регулярные корпоративные мероприятия (совместно с коллегами ежемесячно посещаем квесты, музеи, театры, экскурсии, выезжаем на природу, сплавляемся по реке, играем в настолки и мафию).</li> </ul> <p>Хотите иметь интересную и достойно оплачиваемую работу на рынке информационных технологий? Тогда ждем ваше резюме!</p>",https://hh.ru/vacancy/79382684,2025-04-09,"['1С: Зарплата и кадры', '1С: Зарплата и управление персоналом', 'Консультирование клиентов', '1С: Бухгалтерия', 'Бухгалтерский учет']",Аналитик 1С
80569403,Системный аналитик (Госуслуги МО),,,,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,Москва,От 3 до 6 лет,Полная занятость,"<p><strong>ИТ-компания</strong><strong> «МАКСИМУМ»</strong> занимается разработкой ключевых цифровых проектов Московской области. В нашей команде работают сотни специалистов со всей России. Мы создаем масштабные проекты для 8 млн пользователей Подмосковья:</p> <ul> <li>создаем системы для Правительства Московской области;</li> <li>разрабатываем и уже внедрили более 30 проектов на базе искусственного интеллекта;</li> <li>оцифровываем государственные услуги.</li> </ul> <p>Наши флагманские проекты: <strong>Добродел</strong>, региональный портал госуслуг, ЕАСУЗ, ПИК ЕАСУЗ, Электронный магазин, ЕЦУР, проекты в области искусственного интеллекта.</p> <p>Сейчас мы усиливаем команду, чтобы сделать наши продукты еще лучше.</p> <p><strong>Наш проект: </strong>РПГУ — Региональный портал государственных и муниципальных услуг Московской области.</p> <p><strong>Какие задачи ждут:</strong></p> <ul> <li>анализ бизнес-требований и преобразование их в подробную техническую документацию для разработчиков;</li> <li>проведение обследования, сбор, формализация и анализ требований на разработку ПО;</li> <li>написание технических заданий с описанием API, архитектуры;</li> <li>разработка проектных документов (технических заданий, регламентов и инструкций).</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>знание методик и инструментов описания бизнес-процессов;</li> <li>знание архитектуры автоматизированных систем и базовых принципов разработки, принципов и методов сбора требований к ИС, жизненного цикла разработки ПО;</li> <li>навыки разработки функциональных требований, технических заданий, проектной документации;</li> <li>знание нотаций моделирования (IDEF, BPMN, UML);</li> <li>опыт работы в интеграционных проектах (понимание JSON, XML, XSD, WSDL, REST и SOAP запросов);</li> <li>знание реляционных баз данных (работа, проектирование, умение писать SQL запросы);</li> <li>опыт работы с багтрекинговыми системами (JIRA, Redmine);</li> <li>опыт работы на аналогичных задачах в ИТ-интеграторе или компании-разработчике;</li> <li>опыт работы с базами данных NoSQL;</li> <li>опыт работы в проектах с динамическим управлением (Agile, Scrum, Kanban).</li> </ul> <p><strong>Мы предоставляем:</strong></p> <ul> <li> <p>работу в успешной и стабильной организации, которая реализует социально значимые проекты;</p> </li> <li> <p>оформление по ТК РФ;</p> </li> <li> <p>зарплату, которая зависит от опыта и знаний + премии;</p> </li> <li> <p>возможность профессионального и карьерного роста;</p> </li> <li> <p>удалённый формат работы / комфортный офис в Бизнес-центре класса А (станция м. Мякинино, 13 минут пешком).</p> </li> </ul>",https://hh.ru/vacancy/80569403,2025-04-10,"['XML', 'UML', 'BPMN', 'REST', 'SOAP', 'SQL', 'JSON']",Системный аналитик
90648349,Системный аналитик,250000.0,,RUR,МТС,Москва,От 3 до 6 лет,Полная занятость,"<p>Компания <strong>Гольфстрим</strong> более 30-ти лет является лидером в сфере оказания услуг комплексной безопасности для физических и юридических лиц, обслуживая более 500 тысяч клиентов. Наши клиенты — компании, входящие в ТОП-5 крупнейших банков и ритейлеров в РФ. Также мы активно развиваем европейское направление (работаем на рынках Италии и Германии). Мы являемся аккредитованной ИТ-компанией в реестре Минцифры и резидентами фонда Сколково<em>.</em></p> <p>Наши основные продукты:</p> <ul> <li>Интеллектуальная видеоплатформа, предоставляющая услуги видеонаблюдения и аналитики нашим клиентам. Платформа позволяет в режиме realtime анализировать видеопоток, выделять из него различные события (движение, человек в кадре, аномальные звуки и т.п.) и уведомлять клиента.</li> <li>Платформа безопасности. Представляет собой программно-аппаратное решение, интегрированное с облачными сервисами ведущих мировых производителей систем Smart Home и IoT и позволяющее клиентам управлять комфортом и бозопасностью дома с использованием собственного мобильного приложения.</li> <li>Экосистема корпоративных сервисов. Включает в себя веб-портал, набор чат-ботов и API для дистанционного подключения услуг и интеграции с информационными системами партнеров.</li> </ul> <p>В нашей работе мы используем гибкие методологии разработки, современный стек технологий на базе .NET, Docker, Kubernetes и активно применяем микросервисную архитектуру.</p> <p>Есть реальная перспектива роста в лидера команды аналитики, руководителя проектов, архитектора.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Интервьюировать заказчика, пользователей</li> <li>Собирать требования, документировать в виде User Stories, Use Cases</li> <li>Проектировать и описывать макеты экранных форм совместно с дизайнером</li> <li>Участвовать в проектировании решений совместно с архитектором и тимлидом разработки</li> <li>Готовить проектную документацию: описывать функциональные требования к микросервисам, API, схемы БД, диаграммы взаимодействия сервисов, схемы бизнес-процессов</li> <li>Готовить инструкции для пользователей и сотрудников поддержки совместно с техническим писателем</li> </ul> <p><strong>Что</strong> <strong>мы</strong> <strong>ждем</strong> <strong>от</strong> <strong>кандидата</strong></p> <ul> <li>Опыт интервьюирования заказчика, описание требований в форматах Use Cases и User Stories</li> <li>Опыт проектирования БД</li> <li>SQL на уровне написания запросов</li> <li>Владение нотациями построения диаграмм: UML (sequence, activity, state diagram), C4, ER</li> <li>Понимание форматов передачи данных (JSON/XML/YAML)</li> <li>Модель OSI, протоколы HTTP, SOAP</li> <li>Спецификация OpenAPI</li> <li>Понимание принципов работы брокеров сообщений (RabbitMQ, Kafka)</li> <li>Понимание принципов микросервисной архитектуры, практический опыт проектирования решений в микросервисной архитектуре от 2-х лет</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Трудоустройство в IT-аккредитованную компанию</li> <li>Развитие нон-стоп: для всех сотрудников доступен Корпоративный университет, а в компании есть все возможности для карьерного роста</li> <li>Корпоративная библиотека Alpina Digital: полная коллекция книг, аудиокниг, саммари, видео, тестов по бизнесу и саморазвитию на русском языке</li> <li>BestBenefits — сервис предложений и скидок для работников, который предлагает уникальные условия по разным направлениям. Можно купить со скидкой абонемент в фитнес-клуб, получить специальные условия при посещении кафе и ресторанов, скидки на технику, товары для дома, детские и медицинские товары</li> <li>ДМС после испытательного срока</li> <li>Офисный формат работы или полностью удаленно</li> <li>Предоставляем современное оборудование</li> <li>Отсутствие дресс-кода</li> <li>Офис в пяти минутах от метро Дмитровская</li> </ul>",https://hh.ru/vacancy/90648349,2025-04-01,"['Atlassian Jira', 'Системный анализ', 'UML', 'Анализ данных']",Системный аналитик
92114457,Инженер по информационным базам данных и сопровождения производственных систем автоматизации,70000.0,,RUR,КрасАвиаПорт,Красноярск,От 1 года до 3 лет,Полная занятость,<strong>Обязанности:</strong> <ul> <li>участие во внедрении специализированного программного обеспечения;</li> <li>администрирование БД MS SQL или Postgres;</li> <li>создание текстовых отчетов и запросов на SQL;</li> <li>обработка заявок и консультирование пользователей.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее образование;</li> <li>навыки работы с серверным и офисным программным обеспечением;</li> <li>базовые знания языков программирования с навыками написания скриптов управления и обработки текста.</li> </ul> <strong>Условия:</strong> <ul> <li>место работы: аэропорт &quot;Черемшанка&quot;;</li> <li>возможно бронирование должности (после прохождения испытательного срока);</li> <li>доставка служебным транспортом к месту работы и обратно.</li> </ul>,https://hh.ru/vacancy/92114457,2025-04-18,[],Инженер данных
94190197,Руководитель отдела аналитики и планирования,300000.0,,RUR,Pudov,Москва,От 1 года до 3 лет,Полная занятость,"<p><em><strong>Pudov</strong> - </em>производитель продуктов питания и товаров повседневного спроса. Продуктовый портфель содержит 12 товарных групп, объединенных проектом «С.Пудовъ. Все для выпечки», от муки и мучных смесей, ингредиентов, глазурей, красителей до аксессуаров для выпечки и декора. Мы развиваемся во всех каналах сбыта – прямые контракты с федеральными сетями, дистрибуция по РФ и СНГ, собственная онлайн и офлайн розница, работаем со всеми маркетплейсами.</p> <p><em>Мы растём и приглашаем в нашу распределённую команду <strong>Руководителя отдела аналитики и планирования</strong></em><em>. </em></p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Прогнозирование спроса и продаж по каналам, клиентам и SKU.</p> </li> <li> <p>Оперативное планирование спроса и продаж (неделя/месяц/квартал/год) в разрезе каналов, клиентов, категорий продукции, проектов и ценовых сегментов.</p> </li> <li> <p>Бюджетное планирование продаж по SKU (месяц, квартал, год) в разрезе каналов/категорий/проектов и клиентов.</p> </li> <li> <p>Лидирование проектов, направленных на цифровизацию блока (Оптимакрос, ML-моделирование).</p> </li> <li> <p>Внедрение /поддержание и усовершенствование S&amp;OP процессов компании.</p> </li> <li> <p>Коммуникация с региональными менеджерами, менеджерами по работе с национальными и локальными ключевыми клиентами по отклонениям от бюджета и составление коррекционных действий на период проведения S&amp;OP.</p> </li> <li> <p>Анализ рынка и конкурентного окружения: разработка и внедрение интерактивной аналитической отчетности по рынку на базе BI в виде дашбордов (Nielsen, продажи с касс сетевых операторов, таможенная статистика и др.), формирование гипотез развития рынка и компании.</p> </li> <li> <p>Организация регулярной автоматизированной отчетности по продажам на базе BI (интеграция данных из различных информационных внутренних и внешних источников в одном поле).</p> </li> <li> <p>Анализ динамики рынка, доли, поиск потенциала и формирование гипотез по стратегии развития.</p> </li> <li> <p>Анализ эффективности контрактных условий и доходности (производители - сети).</p> </li> </ul> <p><strong>Кого мы ищем:</strong></p> <ul> <li>Высшее образование (математика,статистика,экономика);</li> <li>Опыт работы руководителем аналитической/ планово-аналитической службы/ отдела;</li> <li>Microsoft Office (Word, Power Point, Excel), сводные таблицы, VBA, BI Qlick sense;</li> <li>Знание основных показателей продаж, принципов формирования аналитических показателей и отчетов, порядок ценообразования, основы маркетинга.</li> </ul> <p>Будет преимуществом:</p> <ul> <li>Опыт работы в торгово-производственных компаниях сферы FMCG;</li> <li>Стремление к развитию и открытость новому, ответственность и инициатива.</li> </ul> <p><strong>Работа в Pudov это:</strong></p> <ul> <li>Сильная команда профессионалов, качественный продукт и амбициозные цели;</li> <li>Разнообразные и интересные задачи, возможность реализовать самые смелые идеи и увидеть результаты своего труда;</li> <li>Подчинение напрямую собственнику компании;</li> <li>Пятидневная рабочая неделя;</li> <li>Всё по ТК РФ: трудоустройство в штат компании, полностью «белая» ЗП;</li> <li>Корпоративные скидки на продукцию компании, подарки детям сотрудников на праздники и другие бонусы;</li> <li>Действующий офис м. Шоссе Энтузиастов (спокойным шагом 10 мин. от метро), скоро переезжаем в новый современный офис м. Автозаводская;</li> <li>Конкурентный уровень ЗП (обсуждаем по результатам собеседования).</li> </ul> <p><strong>Ждём Вас в команде!</strong></p>",https://hh.ru/vacancy/94190197,2025-04-21,"['Прогнозирование спроса', 'Планирование продаж', 'S&OP', 'Оптимакрос', 'ML-моделирование']",Руководитель отдела аналитики
95785946,Ведущий инженер отдела мониторинга баз данных управления разработки месторождений,,,,РН-Ванкор,Красноярск,От 3 до 6 лет,Полная занятость,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Мониторинг баз данных (ведение базы данных Ois; заполнение, выявление и устранение ошибок);</p> </li> <li> <p>Формирование регламентной отчётности по показателям разработки: «Технологических режимов» работы скважин, месячный эксплуатационный рапорт (далее МЭР), и др. (отчёты по геолого-техническим мероприятиям (далее ГТМ), МЭР, новая стратегия нефтяных и нагнетательных скважин, презентация департамента разработки месторождений (далее ДРМ), анализ базы и ГТМ, сквозной поскважинный отчёт по ГТМ (МЭР));</p> </li> <li> <p>Взаимодействие с государственными органами: ЕУ Ростехнадзора, ЕМУ Росприродзоразора, Роснедра, Сибнедра;</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование (специалитет, бакалавриат) по специальности «Разработки и эксплуатация нефтяных и газовых месторождений», «Геология нефти и газа», «Нефтегазовое дело»;</li> <li>Стаж работы по специальности на должностях 6 квалификационного уровня не менее 3 лет;</li> <li>Умение найти и выделить необходимую информацию из месячных эксплуатационных рапортов (МЭРов);</li> <li>Опыт в формировании регламентной отчетности;</li> <li>Знание методических материалов;</li> <li> <p>Уверенный пользователь Excel;</p> </li> <li> <p>Опыт в составлении актов на консервацию и ликвидацию;</p> </li> <li> <p>Опыт в согласовании актов консервации и ликвидации скважин в гос. органах;</p> </li> <li> <p>Опыт работы с проектно-технологической документацией (ПТД);</p> </li> <li> <p>Знание основ разработки месторождений;</p> </li> </ul> <p><strong>Место работы и режим:</strong></p> <ul> <li>Работа в комфортном офисе в г. Красноярске, 5/2;</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работа в стабильной и развивающейся Компании на крупномасштабном флагманском проекте «Роснефти»;</li> <li>Комфортабельные офисные помещения;</li> <li>Широкие возможности карьерного роста;</li> <li>Развитие и обучение за счет Компании (курсы повышение квалификации, профпереподготовка);</li> <li>Расширенный социальный пакет (ДМС, санаторно-курортное лечение для сотрудников и детей, компенсация абонементов в фитнес-центры);</li> <li>Корпоративная программа ипотечного жилищного кредитования;</li> <li>Предоставление жилья высококвалифицированным работникам из регионов РФ. Релокационный пакет при переезде;</li> <li>Предоставление лучших спортивных площадок г. Красноярска для занятий сотрудников;</li> <li>Комплексные программы поддержки молодёжной политики;</li> </ul>",https://hh.ru/vacancy/95785946,2025-04-14,[],Инженер данных
101913876,Аналитик 1С / Методолог 1С,,,,1С,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,"<p><strong>Обязанности:</strong></p> <ul> <li>Обследование БП, подлежащих автоматизации.</li> <li>Описание, формализация, реинжиниринг, GAP-анализ;</li> <li>Участие в проектах автоматизации БУ, УУ, в качестве методолога на этапах обследования БП, внедрения АС</li> <li>Участие в проектах консалтинга и реинжиниринга БП: учетных (БУ, УУ)/ производственных/ складских/ логистических.</li> <li>Разработка методик, стандартов, нормативов, согласование и утверждений методологической документации в рамках проекта/компании;</li> <li>Организация обследования БП, использование своих наработок и технологий;</li> <li>Управление изменениями при обследовании, анализ и обобщение результатов;</li> <li>Распространение результатов исследовательско-продуктивной деятельности.</li> <li>Обеспечение консультационно-методической поддержки в процессе разработки и внедрения АС, как проектной команды Исполнителя, так и специалистов Заказчика.</li> <li>Участие в организации и деятельности центра компетенций в рамках предметной области.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Наличие Сертификата 1С и опыт работы в 1С по любому направлению автоматизации приветствуется Использование общепринятых методологий в процессе работы и для оформления результатов (GAP-анализ. Idef0 и пр.)</li> <li>Хорошее знание стандартов и нормативов предметной области автоматизации: РСБУ и /или МСФО и/или ТК РФ. Наличие сертификатов, дипломов приветствуется Наличие опыта постановки учета на Предприятии: бухгалтерского, управленческого, включая разработку учетной политики пр. корпоративные стандарты компании.</li> <li>Знание и понимание процессов бюджетирования и планирования Предприятия Умение работать в команде, аргументировать свое мнение.</li> <li>Транслировать результаты своей деятельности на коллег; Высшее экономическое/техническое образование высшее образование.</li> <li>Опыт работы в аналогичной должности от года (приветствуется).</li> <li>Знание объектной модели 1С: Предприятие 8 (приветствуется).</li> <li>Опыт написания ТЗ на разработку АС и постановки задач техническим специалистам (приветствуется).</li> <li>Опыт обучения пользователей, разработки инструкций, поддержки пользователей (приветствуется).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Заработная плата по результатам собеседования.</li> <li>Хороший соц. пакет</li> <li>Режим работы: полный рабочий день</li> </ul>",https://hh.ru/vacancy/101913876,2025-04-09,"['Управление проектами', 'MS Visio', '1С: Предприятие 8', 'Разработка технических заданий', '1С: Документооборот', 'ERP-системы на базе 1С', '1C:Управление холдингом', '1С: Зарплата и управление персоналом', '1С: Зарплата и кадры']",Аналитик 1С
103041640,Аналитик 1С,,,,Т1,Москва,От 1 года до 3 лет,Полная занятость,"<p> </p> <p><strong>Задачи:</strong></p> <ul> <li>Участие в проектах по внедрению автоматизированных систем на базе 1С;</li> <li>Проведение обследования деятельности Заказчика;</li> <li>Анализ и описание бизнес-процессов «as is» и «to be»;</li> <li>Участие в разработке концептуального и архитектурного дизайна внедряемой системы;</li> <li>Подготовка проектной документации.</li> </ul> <p><strong>Что нам важно:</strong></p> <ul> <li>Опыт участия в крупных проектах (команда от 8 человек) в роли аналитика, методолога или консультанта;</li> <li>Опыт проведения функционального бизнес-анализа;</li> <li>Знание программных продуктов семейства 1С;</li> <li>Наличие сертификатов 1С будет являться преимуществом;</li> <li>Отличные коммуникативные навыки;</li> <li>Умение работать в команде.</li> </ul> <p> </p>",https://hh.ru/vacancy/103041640,2025-04-09,"['Работа в команде', 'Автоматизация', 'Анализ бизнес-процессов', 'BPMN']",Аналитик 1С
104350075,Product analyst/Продуктовый аналитик (Gamedev),,,,FunFlow (ООО Мобильные Игровые Решения),Москва,От 1 года до 3 лет,Полная занятость,"<p><strong>FunFlow - аккредитованная IT-компания, разработчик популярных мобильных игр и приложений. Уже более 13 лет мы помогаем миллионам людей скрасить свободное время, создавая топовые развлекательные игры и сервисы по всему миру.</strong></p> <p>Социальный игровой проект, который мы разрабатываем, <strong>растет на +20% каждый год</strong>! Наша аудитория – <strong>более миллиона пользователей</strong> ежедневно, которые совершают десятки тысяч покупок и более 50 000 000 сыгранных игр каждый день.</p> <p><strong>Немного о нашем подходе:</strong></p> <p>Мы <strong>быстро растем и адаптируемся</strong> под меняющийся рынок. <strong>Мыслим целями</strong>, а не задачами, ценим свободу в выражении идей и проактивность. <strong>Не боимся рисковать</strong>, тестируем новые инструменты и гипотезы.</p> <p>Наша команда активно растёт, поэтому мы ищем сотрудников, которые смогут нас усилить и помочь достичь новых высот. Сейчас мы в поиске <strong>компетентного Продуктового аналитика</strong>, который поможет реализовать весь потенциал наших проектов.</p> <p>В компании практикуется бизнес-ориентированная аналитика, направленная на принятие решений. У нас хорошо выстроена структура отдела, аналитическая инфраструктура и процессы внутри команды. Вы сможете напрямую влиять на развитие продуктов компании, рекомендуя решения на этапах от оценки конкретных инициатив до составления глобальных планов развития продукта.</p> <p><strong>Формат работы: </strong><em>full офис</em></p> <p><strong>Задачи, которые вас ждут:</strong></p> <ul> <li> <p>Предоставлять аналитические инструменты для команды продукта: подбирать метрики и аудитории для аналитики продукта.</p> </li> <li> <p>Создавать новые внутренние аналитические инструменты и развивать имеющиеся.</p> </li> <li> <p>Сопровождать продуктовые фичи от этапа драфта до запуска в прод:</p> </li> </ul> <ol> <li>Оценивать потенциал фичей.</li> <li>Подготавливать дизайн экспериментов (с А/Б тестами и без них).</li> <li>Проверять результаты экспериментов.</li> <li>Оценивать результаты запуска фичей.</li> </ol> <p><strong>Мы ждем, что у вас есть: </strong></p> <ul> <li>Опыт написания sql запросов.</li> <li>Опыт проведения анализа данных в Python.</li> <li>Опыт в построении информативных визуализаций данных в системах визуализации.</li> <li>Знание основ математической статистики и теории вероятностей.</li> <li>Навык работы в команде и готовность брать ответственность за работу.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Официальное оформление;</li> <li>Гибкое время начала рабочего дня с 9:00 до 11:00;</li> <li>Просторный офис в центре Москвы;</li> <li>ДМС со стоматологией, частичная компенсация фитнеса, консультации с психологом в сервисе &quot;Ясно&quot; и онлайн-занятия в Skyeng;</li> <li>Оплата обучения, возможности карьерного роста и развития;</li> <li>Групповые занятия по направлениям: волейбол, падел-теннис, квизы, мафия и настольные игры.</li> </ul> <p><strong>Почему стоит работать с нами:</strong></p> <p><strong>Большая аудитория.</strong> Дневная аудитория продуктов, над которыми мы работаем, – <em>около 2 000 000 пользователей</em>. А значит, вы легко увидите результаты своей работы.</p> <p><strong>Развитие скиллов.</strong> У нас сильная команда с различными компетенциями. Вы сможете улучшать свои скиллы в разных направлениях: помощь бизнесу при принятии решений, исследовательской деятельности и многом другом.</p> <p><strong>Нет бюрократии.</strong> У нас нет утомительных бюрократических согласований. Мы умеем быстро превращать идею в гипотезу, гипотезу в тест, а результаты теста в решения. Много и хорошо тестируем идеи и подкрепляем данными.</p> <p><strong>Возможность роста.</strong> У нас есть понятный вектор для роста Продуктового аналитика. Мы стремимся создать команду супер профессионалов, которые будут отвечать за целые направления и получать новые зоны ответственности.</p> <p><strong>Скорость разработки.</strong> Благодаря скорости нашей работы и миллионной аудитории вы сможете довольно быстро увидеть результат своей работы и не будете “работать в стол”.</p> <p><strong>Прозрачность.</strong> Мы всегда делимся новостями и данными продуктов, не скрываем метрики, продаем команде разработки свои идеи, исходя из цифр и ожиданий, к чему каждый новый функционал приведет.</p> <p><strong>Ждем ваш отклик!</strong> Мы будем рады видеть вас в команде и научим всему, что умеем сами. С нами вы сможете создавать лучшие продукты на мировом рынке.</p> <p> </p>",https://hh.ru/vacancy/104350075,2025-04-07,[],Продуктовый аналитик
