vacancy_id,job_title,company_name,experience_required,salary,region,company_domain,is_remote,date,hard_skills,soft_skills,tool_name,role_name,text
1,Junior Data Scientist,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),От 1 года до 3 лет,,Алматы,IT,False,2025-08-25,"Машинное обучение и статистический анализ, Работа с Python, Работа с SQL","Командная работа, Общение","Инструменты машинного обучения, API, AirFlow, FastAPI, Flask, NumPy, Numpy, Pandas, Python, Python 3, Python 3.*, Python 3.11, Python 3.х, SDK, matplotlib, numpy, pandas, scikit-learn, transformers, Антипаттерны, ООП, Паттерны проектирования, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД",Дата-сайентист,Junior Data Scientist
2,Стажер/Data Analyst,X5 Tech,Нет опыта,,Москва,IT-компания,True,2025-09-04,"Работа с ETL, Работа с Python, Работа с SQL, Работа с хранилищами данных","Коммуникация, Обработка обратной связи","AirFlow, Airflow, Apache Airflow, Apache Nifi, ClickHouse, Feast, Informatica, MS SSIS, NiFi, S3, SAS, Spark, Talend, clickhouse, API, AirFlow, FastAPI, Flask, NumPy, Numpy, Pandas, Python, Python 3, Python 3.*, Python 3.11, Python 3.х, SDK, matplotlib, numpy, pandas, scikit-learn, transformers, Антипаттерны, ООП, Паттерны проектирования, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД, Ataccama, BI, Ceph, DWH, Data Vault, HDFS, Iceberg, Minio, S3",Дата-сайентист,Стажер/Data Analyst
3,AI Engineer (Инженер AI),Группа Компаний Визард,От 1 года до 3 лет,,Тверь,ИТ-компания,True,2025-09-04,"Python, Работа с нейросетями, Работа с фреймворками","взаимодействие в команде, интерес к исследованию","AirFlow, Apache Airflow, HuggingFace Transformers, NumPy, ONNX, Pandas, PySpark, PyTorch, Python, TensorFlow, TensorRT, TorchScript, matplotlib/seaborn, numpy, pandas, pyspark, scikit-learn, CNN, ChatGPT, LLM, Midjorney, Pytorch, RNN, Stabile Diffusion, diffusion, трансформеры, Hugging Face, LangChain, PyTorch, TensorFlow",Дата-сайентист,AI Engineer (Инженер AI)
4,Junior Machine Learning Engineer,Рыбаков Алексей Николаевич,Нет опыта,от 80 000 руб. до 150 000 руб.,Москва,Не указано,False,2025-08-08,"CI/CD, SQL, Машинное обучение, Работа с данными","Аналитический склад ума, Внимание к деталям, Стремление к профессиональному росту","Airflow, Argo CD, CI/CD, CI/CD для пайплайнов данных, Docker, Flux, Git, GitLab, GitLab CI, Gitlab CI, Jenkins, Kubernetes, MLflow, TeamCity, Terraform, BQ, CTE, Cassandra, ClickHouse, Clickhouse, DB2, Functions, Greenplum, Hive, JOIN, MS SQL, MsSQL, MySQL, NoSQL, Oracle, Oracle/MS SQL/Teradata/SQL Server/SAP (Sybase)/Greenplum, PL/SQL, PostgreSQL, Postgres, SQL, Spark, Stored procedures, Trino, Views, mySql, pgSql, Распределённые вычисления, агрегатные функции, группировки, оконные функции, оптимизация, процедуры, AirFlow, Airflow, CatBoost, Catboost, Deep Learning, Grafana, HDFS, Hadoop, Hive, Hugging Face, HuggingFace, HuggingFace Transformers, JupiterLab, K8s, Kafka, Keras, LightGBM, ML, ML/DL, MLflow, Mlflow, NumPy, Numpy, Nvidia4rec, Pandas, PySpark, PyTorch, Python, Python 3.X, Pytorch, Reinforcement Learning, Rust, S3, SciPy, Scikit Learn, Scikit-Learn, Scikit-learn, Seaborn, Spark, Spark ML, Supervised learning, TensorFlow, Tensorflow, Torch, XGBoost, Xgboost, catboost, git, lightgbm, numpy, pandas, plotly, prophet, scikit-learn, seaborn, sklearn, statsmodels, transformers, xgboost, Теоретические и практические методы машинного обучения, алгоритмы машинного обучения, аналитический стек библиотек Python, основные библиотеки анализа данных, Airflow, Apache Airflow, Apache Kafka, BigQuery, CVAT, Cassandra, ClickHouse, Clickhouse, Data Factory, Data Warehouse, Debezium, Django, Docker, DuckDB, Excel, FastAPI, Flask, Gitlab, Go, Google Big Query, Grafana, GreenPlum, Greenplum, Hadoop, Hive, Jira, JupyterLab, Kafka, Linux, Loki, MS Power BI, MongoDB, MySQL, NoSQL, NumPy, Numpy, OneLake, OpenCV, Oracle, Pandas, Polars, PostgreSQL, Presto, Prometheus, Prometheus/Grafana, PyCharm/VSCode, PySpark, PyTorch, Pyspark, Python, Python (Pandas, NumPy, MatPlotLib), Python (pandas, sklearn), Requests, S3, S3 хранилище, SQL, SQL (MS SQL, pgSql, mySql), SQLAlchemy, SciPy, Scikit-Learn, Spark, Starrocks, TF, TensorFlow, Teradata, Vertica, bash, catboost, dbt, itertools, k8s, lightgbm, matplotlib, matplotlib.pyplot, networkx, numpy, oracle, pandas, postgresql, pylab, pytorch, requests, scikit-image, scikit-learn, scipy, scipy.optimize, seaborn, sklearn, sklearn.preprocessing, sqlalchemy, visualisation, xgboost, Временные данные, Геоданные, ООП, СУБД, Табличные данные, Текст, Фото",Дата-сайентист,Junior Machine Learning Engineer
5,Junior Data Scientist (Ranking&Search),Lamoda Tech,От 1 года до 3 лет,,Москва,E-commerce,False,2025-09-04,"Алгоритмы и структуры данных, Машинное обучение, Работа в операционных системах *nix, Работа с Hadoop, Hive, Spark, Работа с данными, Теория вероятностей и математическая статистика",,"Python, алгоритмы, структуры данных, AirFlow, Airflow, CatBoost, Catboost, Deep Learning, Grafana, HDFS, Hadoop, Hive, Hugging Face, HuggingFace, HuggingFace Transformers, JupiterLab, K8s, Kafka, Keras, LightGBM, ML, ML/DL, MLflow, Mlflow, NumPy, Numpy, Nvidia4rec, Pandas, PySpark, PyTorch, Python, Python 3.X, Pytorch, Reinforcement Learning, Rust, S3, SciPy, Scikit Learn, Scikit-Learn, Scikit-learn, Seaborn, Spark, Spark ML, Supervised learning, TensorFlow, Tensorflow, Torch, XGBoost, Xgboost, catboost, git, lightgbm, numpy, pandas, plotly, prophet, scikit-learn, seaborn, sklearn, statsmodels, transformers, xgboost, Теоретические и практические методы машинного обучения, алгоритмы машинного обучения, аналитический стек библиотек Python, основные библиотеки анализа данных, bash, Hadoop, Hive, Spark, Airflow, Apache Airflow, Apache Kafka, BigQuery, CVAT, Cassandra, ClickHouse, Clickhouse, Data Factory, Data Warehouse, Debezium, Django, Docker, DuckDB, Excel, FastAPI, Flask, Gitlab, Go, Google Big Query, Grafana, GreenPlum, Greenplum, Hadoop, Hive, Jira, JupyterLab, Kafka, Linux, Loki, MS Power BI, MongoDB, MySQL, NoSQL, NumPy, Numpy, OneLake, OpenCV, Oracle, Pandas, Polars, PostgreSQL, Presto, Prometheus, Prometheus/Grafana, PyCharm/VSCode, PySpark, PyTorch, Pyspark, Python, Python (Pandas, NumPy, MatPlotLib), Python (pandas, sklearn), Requests, S3, S3 хранилище, SQL, SQL (MS SQL, pgSql, mySql), SQLAlchemy, SciPy, Scikit-Learn, Spark, Starrocks, TF, TensorFlow, Teradata, Vertica, bash, catboost, dbt, itertools, k8s, lightgbm, matplotlib, matplotlib.pyplot, networkx, numpy, oracle, pandas, postgresql, pylab, pytorch, requests, scikit-image, scikit-learn, scipy, scipy.optimize, seaborn, sklearn, sklearn.preprocessing, sqlalchemy, visualisation, xgboost, Временные данные, Геоданные, ООП, СУБД, Табличные данные, Текст, Фото",Дата-сайентист,Junior Data Scientist (Ranking&Search)
6,Стажер по машинному обучению ( ML-классический ),Alif Uzbekistan,Нет опыта,,Ташкент,Не указано,False,2025-08-29,"анализ данных, аналитическое мышление, машинное обучение, работа с данными, разработка моделей","аналитическое мышление, коммуникация, стремление учиться","Hadoop, PySpark, PyTorch, Python, SQL, Spark, TensorFlow, numpy, pandas, scikit-learn, Airflow, BERT, CNN, CatBoost, Classic ML, DL, DNN, GBDT, GPT, Git, Hadoop, Hive, Kubernetes, LSTM, LightGBM, ML, Numpy, Pandas, Polars, PostgreSQL, PyTorch, Python, RNN, ResNet, Scikit-Learn, Scikit-learn, Spark, TensorFlow, ViT, XGBoost, pyTorch, transformers, линейные модели, Airflow, ClickHouse, DBT, Docker, Flink, Kafka, PostgreSQL, Python, SQL, Spark, Tableau, временные ряды, категориальные данные, табличные данные, CatBoost, LightGBM, PyTorch, Python, Scikit-learn, XGBoost",Дата-сайентист,Стажер по машинному обучению ( ML-классический )
7,Data Engineer в платформенную команду,Домклик,От 3 до 6 лет,,Москва,IT-компания,True,2025-09-04,"Работа с Clickhouse, Работа с Greenplum, Работа с PostgreSQL, Работа с Python, Работа с SQL",,"Clickhouse, Greenplum, PostgreSQL, pgvector, API, AirFlow, FastAPI, Flask, NumPy, Numpy, Pandas, Python, Python 3, Python 3.*, Python 3.11, Python 3.х, SDK, matplotlib, numpy, pandas, scikit-learn, transformers, Антипаттерны, ООП, Паттерны проектирования, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД",Дата-сайентист,Data Engineer в платформенную команду
8,Data Scientist,ВОДОВОЗ.RU,От 1 года до 3 лет,,Москва,Интернет-магазин,False,2025-09-04,"Анализ данных, Знание HTTP-протокола, Работа с Docker, Работа с GIT, Работа с Jupyter Notebooks, Работа с LLM, Работа с SQL, Работа с системами контроля версий","Самостоятельность, Умение работать в нескольких проектах","Ad Hoc Analysis, Airflow, Autogen, BI-инструменты, BigQuery, CatBoost, ClickHouse, Clickhouse, Git, Google Colab, Grafana, GreenPlum, Greenplum, Hadoop, JAX, Jupyter, Langchain, Langgraph, LightGBM, MLflow, MatPlotLib, Matlab, Matplotlib, Matplotlib/Seaborn/Plotly, MySQL, NumPy, Numpy, Ollama, Pandas, Pandas/Polars, Plotly, PostgreSQL, PowerBi, PyMC, PySpark, PyTorch, Python, Python 3, Python3, R, Redshift, S3, SAS, SQL, SciPy, Scikit-learn, Seaborn, Statsmodels, TensorFlow, Transformers, XGBoost, arviz, catboost, hyperopr, lightgbm, matplotlib, numpy, optuna, pandas, plotly, polars, scikit-learn, scikit‑learn, scipy, seaborn, sklearn, statsmodels, xgboost, Алгоритмы и структуры данных, Базовый SQL, Искусственный интеллект, Математическая статистика, Основные библиотеки анализа данных, Стандартный стек ML, Стандартный стек NLP, Теория вероятностей, библиотеки для анализа данных и машинного обучения, HTTP-протокол, Airflow, Docker, Docker Compose, GIT, Jupyter Notebooks, Anthropic, BERT, BERT-like, Bash, ChatGPT, Claude, CoT, Cohere, Cotype Nano, EfficientNet, GPT, GigaChat, Git, Google Gemini, Hugging Face, HuggingFace, LLM, LangChain, Linux, Llama, LlamaIndex, LoRA, Mistral, Numpy, Ollam, OpenAI, OpenAI GPT, Pixtral, Prompt tuning, PyTorch, Qwen, Qwen VL, RAG, ResNet, SO, Scikit-learn, T-Pro, TensorFlow, autogen, checklists, fine-tuning, langchain, langflow, langgraph, llamaindex, open-source модели, pandas, Промптинг, Яндекс, кастомизация, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД, BitBucket, Confluence, Git, GitHub, Jira, SVN, git",Дата-сайентист,Data Scientist
9,Junior Data Scientist,Клеркгрупп,От 1 года до 3 лет,,Минск,IT-компания,True,2025-09-04,"Machine Learning, Математическое моделирование, Статистический анализ",Инициативность,"AWS, C++, CatBoost, Catboost, Databricks, Implicit, LightFM, ML, ML tools, ML/AI, Nltk, PyMorphy, PyTorch, Python, R, RecTools, SQL, Scikit-learn, Supervised/unsupervised обучение, TensorFlow, Transformers, numpy, pandas, pytorch, scipy, sklearn, supervised/unsupervised обучение, vLLM, Python, Математическая статистика, Теория вероятностей, Airflow, BigQuery, ClickHouse, Distribution curves, EDA, LightGBM, Matplotlib, NumPy, Pandas, Percentiles, PostgreSQL, Python, SQL, Scipy, Sklearn, Standard deviation, XGBoost, matplotlib/seaborn, numpy, pandas, polars, scikit-learn, Математическая статистика, Теория вероятностей",Дата-сайентист,Junior Data Scientist
10,Junior Data Scientist/MLE,Интерлизинг,От 1 года до 3 лет,,Санкт-Петербург,Лизинговая компания,False,2025-08-27,"Машинное обучение, Обработка данных, Работа с версиями, Статистический анализ",,"AirFlow, Airflow, CatBoost, Catboost, Deep Learning, Grafana, HDFS, Hadoop, Hive, Hugging Face, HuggingFace, HuggingFace Transformers, JupiterLab, K8s, Kafka, Keras, LightGBM, ML, ML/DL, MLflow, Mlflow, NumPy, Numpy, Nvidia4rec, Pandas, PySpark, PyTorch, Python, Python 3.X, Pytorch, Reinforcement Learning, Rust, S3, SciPy, Scikit Learn, Scikit-Learn, Scikit-learn, Seaborn, Spark, Spark ML, Supervised learning, TensorFlow, Tensorflow, Torch, XGBoost, Xgboost, catboost, git, lightgbm, numpy, pandas, plotly, prophet, scikit-learn, seaborn, sklearn, statsmodels, transformers, xgboost, Теоретические и практические методы машинного обучения, алгоритмы машинного обучения, аналитический стек библиотек Python, основные библиотеки анализа данных, Airflow, Apache Spark, Clickhouse, Debezium, Feature Engineering, Hadoop, Hugging Face Transformers, JSON lines, Kafka, LangChain, Matplotlib, NumPy, Pandas, Parquet, Plotly, Polars, PySpark, PyTorch, Python, R, Requests, SQL, SQLAlchemy, SciPy, Scikit-learn, Seaborn, Spark, StatsModels, TensorFlow, XML, Ytsaurus, numpy, opencv, pandas, plotly, pytorch, scikit-learn, seaborn, sklearn, Git, Airflow, BigQuery, ClickHouse, Distribution curves, EDA, LightGBM, Matplotlib, NumPy, Pandas, Percentiles, PostgreSQL, Python, SQL, Scipy, Sklearn, Standard deviation, XGBoost, matplotlib/seaborn, numpy, pandas, polars, scikit-learn, Математическая статистика, Теория вероятностей",Дата-сайентист,Junior Data Scientist/MLE
